Timestamp,Q1: How frequently do you capture physical handwritten notes during academic lectures?,Q2: What is the primary limitation when scanning handwritten notes with existing mobile apps?,Q3: How valuable is automated AI executive summarization and action item synthesis?,Q4: What export format is most preferred for lecture archiving?
2026-08-17 08:55:46,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-17 10:34:38,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-17 10:54:00,Weekly,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-17 11:34:57,Daily,Notebook ruled lines,Extremely Valuable,PDF
2026-08-17 13:33:03,Daily,Missing summary,Extremely Valuable,Microsoft Word .docx
2026-08-17 13:34:32,Daily,Notebook ruled lines,Extremely Valuable,Plain Text
2026-08-17 17:19:08,Daily,Messy handwriting,Moderately Valuable,Microsoft Word .docx
2026-08-17 18:05:14,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-17 18:17:34,Daily,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-17 18:57:22,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-17 19:11:41,Daily,Notebook ruled lines,Moderately Valuable,Microsoft Word .docx
2026-08-17 19:25:15,Daily,Notebook ruled lines,Moderately Valuable,Microsoft Word .docx
2026-08-18 09:58:51,Rarely,Notebook ruled lines,Extremely Valuable,PDF
2026-08-18 10:56:31,Daily,Notebook ruled lines,Extremely Valuable,PDF
2026-08-18 11:34:21,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-18 11:48:13,Daily,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-18 13:03:55,Daily,Missing summary,Extremely Valuable,Microsoft Word .docx
2026-08-18 13:12:31,Weekly,Notebook ruled lines,Extremely Valuable,PDF
2026-08-18 16:38:46,Weekly,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-18 16:58:08,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-18 18:08:02,Daily,Missing summary,Extremely Valuable,Microsoft Word .docx
2026-08-18 19:00:35,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-19 09:45:12,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-19 11:46:25,Daily,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-19 12:12:45,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-20 10:26:36,Weekly,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-20 10:47:29,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-20 12:25:25,Daily,Missing summary,Extremely Valuable,PDF
2026-08-20 12:57:44,Daily,Missing summary,Extremely Valuable,Microsoft Word .docx
2026-08-20 13:29:50,Rarely,Notebook ruled lines,Extremely Valuable,PDF
2026-08-20 14:42:06,Weekly,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-20 14:59:55,Weekly,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-20 16:58:07,Rarely,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-20 19:11:23,Daily,Missing summary,Extremely Valuable,Plain Text
2026-08-21 08:35:59,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-21 09:33:41,Daily,Notebook ruled lines,Moderately Valuable,Microsoft Word .docx
2026-08-21 09:56:42,Weekly,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-21 10:33:32,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-21 11:30:04,Daily,Messy handwriting,Extremely Valuable,Plain Text
2026-08-21 12:15:19,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-21 14:43:59,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-21 16:02:58,Daily,Notebook ruled lines,Extremely Valuable,Microsoft Word .docx
2026-08-21 18:00:15,Daily,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-21 18:03:20,Daily,Messy handwriting,Extremely Valuable,Microsoft Word .docx
2026-08-21 19:15:31,Weekly,Notebook ruled lines,Extremely Valuable,PDF
